CATE,bedrooms,AREA,school,price
chaoyang,1,46.06,0,48850
chaoyang,1,59.09,0,46540
haidian,5,278.95,1,71662
haidian,3,207,1,57972
fengtai,2,53.32,1,71268
fengtai,2,58,1,70690
haidian,2,55.8,1,57348
haidian,2,58.9,1,55179
haidian,2,66.9,1,45591
fengtai,2,53,0,73585
chaoyang,2,94.19,0,60516
chaoyang,1,38.94,0,56498
chaoyang,1,48,0,55209
chaoyang,1,36.74,0,54437
chaoyang,1,45,0,53334
chaoyang,1,92.98,0,50549
chaoyang,1,64.6,0,68576
chaoyang,1,80.74,0,66634
chaoyang,1,81,0,66050
chaoyang,1,78.23,0,67749
chaoyang,4,218.28,1,71010
fengtai,1,26.28,0,55176
fengtai,1,46,0,52174
fengtai,1,46.39,0,45700
fengtai,2,58,0,45690
fengtai,1,46.39,0,45269
fengtai,1,46.39,0,44191
fengtai,1,46.39,0,44191
fengtai,1,60.56,0,43429
fengtai,1,48.44,0,39637
chaoyang,1,71.77,0,36227
dongcheng,3,302.42,0,76054
dongcheng,3,305,0,75410
dongcheng,5,608,0,69079
dongcheng,3,306,0,68628
dongcheng,3,306,0,68628
dongcheng,3,305.48,0,60561
chaoyang,3,141,0,45036
chaoyang,3,143.19,0,39109
chaoyang,3,146.72,0,38509
chaoyang,3,155.3,0,77270
chaoyang,3,150.4,0,74469
chaoyang,2,119.13,0,73869
chaoyang,3,139.01,0,71938
chaoyang,1,46.44,0,71060
chaoyang,4,192.68,0,70065
chaoyang,2,116.64,0,65587
chaoyang,2,117,0,63077
chaoyang,1,66.36,0,61785
chaoyang,1,54.62,0,60418
chaoyang,1,53.44,0,58009
haidian,4,212,0,99057
haidian,6,240,0,72917
chaoyang,2,79,1,49368
chaoyang,3,135.62,1,48666
chaoyang,2,111.1,1,47705
chaoyang,1,62.56,1,40122
haidian,1,49.96,1,86069
haidian,1,76.17,1,72207
haidian,1,89.2,1,67265
haidian,2,89.2,1,64462
xicheng,2,57.5,1,114435
xicheng,2,57.7,1,114039
xicheng,1,48.4,1,111571
xicheng,2,58.3,1,111493
xicheng,2,51.3,1,105264
xicheng,2,57.7,1,104853
xicheng,2,74,1,104055
xicheng,3,72.9,1,97394
xicheng,2,59.1,1,94755
chaoyang,1,93.78,0,64513
chaoyang,3,133.58,0,59890
chaoyang,3,163.68,0,58652
chaoyang,3,133.05,0,58475
chaoyang,4,147.09,0,58332
chaoyang,3,145.87,0,58272
chaoyang,2,94.15,0,60542
chaoyang,2,87.81,0,56942
chaoyang,2,88.88,0,56256
chaoyang,3,127.79,0,62603
chaoyang,2,68.69,0,61145
chaoyang,1,63,0,58731
chaoyang,2,110.71,0,58712
chaoyang,2,105,0,52381
xicheng,2,50.4,1,134921
xicheng,2,48.5,1,112372
xicheng,2,62.1,1,101450
dongcheng,3,71.78,1,87769
dongcheng,2,53.79,1,98532
dongcheng,1,46.87,1,96011
dongcheng,1,46.87,1,93877
dongcheng,3,89.12,1,84493
dongcheng,2,71,1,73240
xicheng,2,88.4,1,113123
xicheng,2,40.1,0,109477
xicheng,2,51.38,1,108992
xicheng,2,55,0,106910
xicheng,1,43.5,1,106897
xicheng,2,55,1,105455
xicheng,1,42.8,1,105141
xicheng,3,67.1,1,103577
xicheng,2,50.4,0,103175
xicheng,2,82.8,1,96619
xicheng,2,63,0,95556
xicheng,2,61.8,1,95470
xicheng,2,59.3,0,92749
xicheng,2,63.5,0,92599
xicheng,2,64.2,0,91745
xicheng,2,64,0,90625
xicheng,3,134.6,0,89154
xicheng,3,122.62,1,42816
dongcheng,3,67,1,86568
dongcheng,3,73.18,1,81990
dongcheng,2,50.39,1,80374
dongcheng,3,69,1,80000
dongcheng,1,46.6,1,78970
dongcheng,3,56.5,1,78762
dongcheng,3,72,1,76389
dongcheng,2,59,1,76272
dongcheng,1,43.31,1,76195
dongcheng,2,59.33,1,75847
dongcheng,2,60,1,75000
dongcheng,2,58.38,1,73656
dongcheng,1,46.07,1,72716
dongcheng,2,59.33,1,71634
dongcheng,1,36.7,1,70845
dongcheng,2,57.84,1,74344
dongcheng,2,57.84,1,72615
dongcheng,3,70.21,1,70503
dongcheng,2,64.34,1,69941
dongcheng,3,88.69,1,60887
dongcheng,2,47.5,1,85264
dongcheng,2,46.39,1,84070
dongcheng,1,44,1,83637
dongcheng,3,62.64,1,83015
dongcheng,3,111.04,1,80602
dongcheng,3,111.04,1,80152
dongcheng,3,73.45,1,74881
dongcheng,2,54.41,1,71679
xicheng,4,200.46,0,114737
xicheng,1,56.46,0,114418
xicheng,2,75.73,0,110261
xicheng,2,74.75,1,109031
xicheng,3,88.76,1,108157
xicheng,2,66.64,0,108044
xicheng,1,58.99,0,105951
xicheng,2,75.42,0,105410
xicheng,2,71.79,1,101686
xicheng,2,72.79,0,100289
xicheng,2,65.12,0,98281
xicheng,3,88.86,0,90030
dongcheng,2,65.59,0,76232
dongcheng,2,52.2,0,74713
dongcheng,3,88,0,70455
dongcheng,3,88.24,0,67997
dongcheng,2,68,0,66177
dongcheng,1,43.55,0,91849
dongcheng,5,148.4,0,114556
chaoyang,2,84.61,1,66896
chaoyang,2,58.52,0,58955
chaoyang,2,57.85,0,56180
chaoyang,2,59.06,0,54183
chaoyang,2,63.88,0,68097
chaoyang,2,61,0,55738
chaoyang,3,84.25,0,55193
chaoyang,3,78.63,0,52398
chaoyang,2,55.27,0,61336
chaoyang,2,51.21,0,56630
chaoyang,2,53.24,0,72315
chaoyang,3,74.57,0,60346
chaoyang,3,74.57,0,58335
chaoyang,2,73.87,0,56857
chaoyang,3,63.32,0,56855
chaoyang,2,56.98,0,56161
chaoyang,3,76.1,0,65704
chaoyang,2,51,0,58824
chaoyang,2,57.26,0,66714
chaoyang,1,42,0,57858
dongcheng,2,52.98,1,73613
dongcheng,2,67,1,71642
dongcheng,2,50,1,70000
dongcheng,2,75,1,66667
dongcheng,2,71.17,1,64353
dongcheng,3,74.82,1,56135
dongcheng,1,63,1,75397
dongcheng,2,82.27,1,75362
dongcheng,2,80.19,1,71082
dongcheng,2,71.75,1,69687
chaoyang,2,60.19,1,54827
chaoyang,3,80,1,53750
chaoyang,2,64.21,1,74755
chaoyang,1,51.01,1,56852
chaoyang,3,82.19,1,52927
chaoyang,3,119.01,1,63020
chaoyang,1,48,1,62500
chaoyang,2,59,1,60339
chaoyang,2,103.82,1,57793
chaoyang,2,85.11,1,57573
chaoyang,2,104.99,1,57149
chaoyang,2,77.24,1,53729
chaoyang,2,94.15,1,53107
chaoyang,2,85,1,50589
chaoyang,2,85.11,1,50523
chaoyang,3,139.5,1,50180
chaoyang,2,111.55,1,47961
chaoyang,4,185,1,47568
chaoyang,2,53.69,1,59602
chaoyang,2,56.4,1,59398
chaoyang,2,57.09,1,58680
chaoyang,2,58,1,58621
chaoyang,1,40.4,1,56931
chaoyang,3,78.3,1,56195
chaoyang,2,57.09,1,56052
chaoyang,2,57.09,1,55177
chaoyang,2,57.43,1,54850
chaoyang,2,64.99,1,30621
chaoyang,2,54.21,1,77477
chaoyang,2,67.15,1,67015
chaoyang,2,56.76,1,66949
chaoyang,1,44.95,1,66741
chaoyang,3,76.5,1,65360
chaoyang,2,70,1,62858
chaoyang,2,71,1,62677
chaoyang,3,83.59,1,59816
chaoyang,3,79.78,1,58286
chaoyang,3,85.27,1,56292
chaoyang,3,80,1,56250
chaoyang,3,78.34,1,56166
chaoyang,3,75.06,1,55290
chaoyang,4,118,1,55085
chaoyang,2,79.29,1,58646
chaoyang,2,57,1,52632
chaoyang,3,67.04,1,63395
chaoyang,3,68.57,1,60668
chaoyang,2,54.31,1,58922
chaoyang,2,64.68,1,58751
chaoyang,2,64.98,1,58480
chaoyang,2,54.97,1,57668
fengtai,2,57.96,0,44859
fengtai,2,57.84,0,43050
fengtai,1,48.02,1,64557
fengtai,1,48.08,1,60733
dongcheng,2,57.34,0,43600
dongcheng,2,57.91,0,43171
dongcheng,3,77.66,0,38630
dongcheng,1,37.74,0,47695
haidian,1,36.43,0,64508
haidian,1,38,0,61843
haidian,3,95.52,0,60721
haidian,1,39,0,60257
haidian,2,85.04,0,57032
haidian,2,88.58,0,52495
haidian,1,42,0,59524
haidian,1,42,0,54762
haidian,2,59,0,53390
haidian,2,60.85,0,51767
haidian,3,75,0,51334
haidian,2,71.3,0,49089
haidian,2,74.28,0,56947
haidian,2,71.37,0,54085
haidian,2,73,0,52055
haidian,2,73.05,0,51746
haidian,1,48.55,0,51082
haidian,2,73.49,0,50347
haidian,1,55.75,1,50225
haidian,2,82.97,0,47608
haidian,3,91.14,0,46632
haidian,1,59,0,45763
haidian,2,67,0,44777
haidian,2,97.45,0,44126
haidian,3,102,0,42157
haidian,3,106,0,41510
haidian,3,105,0,40953
haidian,4,116.24,0,39574
haidian,3,106.42,0,38527
haidian,4,131.98,0,36370
haidian,4,131,0,35115
chaoyang,2,107.74,0,63115
dongcheng,2,61.11,0,69220
dongcheng,3,81.73,0,69131
dongcheng,1,46.83,0,64062
dongcheng,1,46.83,0,59791
dongcheng,2,56.03,1,70498
dongcheng,2,71.76,1,69538
dongcheng,2,49,1,67347
dongcheng,2,67.09,0,81980
dongcheng,3,70.13,0,75574
dongcheng,3,84.2,0,73635
dongcheng,1,39.97,1,101326
dongcheng,2,58.12,0,91191
dongcheng,2,59.68,1,90148
dongcheng,2,65.16,0,89933
dongcheng,2,59.68,1,88472
dongcheng,3,95.46,1,87995
dongcheng,2,56.65,1,87909
dongcheng,1,39.29,1,86537
dongcheng,1,50.19,1,85675
dongcheng,2,75.5,1,79471
dongcheng,2,67,1,77612
dongcheng,2,61.89,0,58168
dongcheng,2,58,1,89656
dongcheng,3,71.05,0,89374
dongcheng,1,37.47,1,88071
dongcheng,2,61,1,81968
dongcheng,2,61,0,81968
dongcheng,2,53.24,0,80767
dongcheng,3,81,1,80247
dongcheng,2,56.82,0,78318
dongcheng,1,37.11,0,75991
dongcheng,1,42.3,1,75651
dongcheng,3,74,0,74325
dongcheng,2,60,1,75000
dongcheng,3,65.29,1,74438
dongcheng,2,55.59,1,71596
dongcheng,1,44.73,1,71317
dongcheng,3,88.24,1,70830
dongcheng,3,88.24,1,70830
dongcheng,2,69.83,1,69885
chaoyang,1,41.84,0,62142
chaoyang,2,61.86,0,56580
chaoyang,2,60.61,1,61871
dongcheng,2,140.5,1,92527
dongcheng,2,139.78,1,89427
dongcheng,5,306.65,1,71744
chaoyang,2,62.59,1,65506
chaoyang,3,136.64,1,51962
chaoyang,3,136.64,1,50864
chaoyang,2,102.57,1,49723
chaoyang,4,184.33,1,48826
chaoyang,3,136.64,1,47571
chaoyang,3,80,0,60000
chaoyang,2,69.96,0,58605
chaoyang,2,68.69,0,54594
chaoyang,2,59.61,0,55360
chaoyang,2,55.31,0,57675
chaoyang,3,65.64,0,53322
chaoyang,2,49.44,0,73827
chaoyang,2,81.53,0,72980
chaoyang,2,49.93,0,72101
chaoyang,2,62.77,0,70098
chaoyang,3,81.02,0,69119
chaoyang,2,54.21,0,67331
chaoyang,2,53.65,0,65238
chaoyang,3,81.97,0,64658
chaoyang,2,54.61,0,63176
chaoyang,2,53.99,0,62975
chaoyang,2,54,0,62963
chaoyang,1,45.35,0,61743
chaoyang,2,63.47,0,61447
chaoyang,2,54.01,0,61100
chaoyang,2,62.77,0,61017
chaoyang,3,74.95,0,60041
chaoyang,2,56.02,0,59801
chaoyang,2,53.98,0,59282
chaoyang,2,59.15,0,59172
chaoyang,2,54.21,0,59030
chaoyang,2,58.53,0,58090
chaoyang,1,58.56,0,58061
chaoyang,2,51.91,0,80910
chaoyang,3,71,0,71831
chaoyang,2,60,0,71667
chaoyang,3,78.54,0,70029
chaoyang,2,57.15,0,69117
chaoyang,3,76.09,0,67026
chaoyang,2,56.99,0,66679
chaoyang,2,58,0,66380
chaoyang,2,65,0,66154
chaoyang,2,57.5,0,66087
chaoyang,1,42,0,65477
chaoyang,2,56.71,0,65245
chaoyang,2,57.5,0,64348
chaoyang,2,65.64,0,64138
chaoyang,3,80.6,0,62035
chaoyang,1,38.96,0,61602
chaoyang,1,38.52,0,61008
chaoyang,1,49.63,0,60448
chaoyang,2,59.55,0,59614
chaoyang,2,57.66,0,58967
chaoyang,2,58.16,0,57600
chaoyang,2,68.18,0,56469
chaoyang,1,38.99,0,51296
dongcheng,3,108.21,0,80215
dongcheng,2,65.82,0,79004
dongcheng,1,47.6,0,78782
dongcheng,2,65.82,0,72927
dongcheng,2,66,1,72728
dongcheng,2,65.82,1,65330
chaoyang,3,196.31,0,76410
chaoyang,2,144.31,0,69296
chaoyang,3,196.31,0,69279
chaoyang,2,144,0,61667
chaoyang,4,204.38,1,44036
chaoyang,3,137.36,1,51689
chaoyang,2,109.79,1,51007
chaoyang,2,110.69,1,50592
chaoyang,3,126,1,48889
chaoyang,3,136.82,1,47508
chaoyang,4,170.94,1,46801
chaoyang,2,107.34,1,46581
chaoyang,3,139,1,50360
chaoyang,3,224,1,36608
chaoyang,3,139.64,1,60871
chaoyang,3,144.7,1,55978
chaoyang,3,164.03,1,53040
chaoyang,3,143.32,1,53029
chaoyang,3,141.87,1,52866
chaoyang,3,164.36,1,50499
chaoyang,3,139.85,1,50054
chaoyang,3,221.27,1,44290
chaoyang,3,134.88,1,72658
chaoyang,3,144.18,1,70745
chaoyang,3,127.12,1,69226
chaoyang,3,142.97,1,68546
chaoyang,3,127.98,1,67198
chaoyang,3,180.56,1,64799
chaoyang,1,76,1,59211
chaoyang,2,126.8,1,59937
chaoyang,2,138.26,1,91133
chaoyang,3,165.58,1,86968
chaoyang,2,134.86,1,85274
chaoyang,3,135,1,72963
chaoyang,6,209.4,1,57307
chaoyang,4,155.11,1,88970
chaoyang,3,154.65,1,74362
chaoyang,2,109.25,1,64074
chaoyang,3,108.95,1,57642
chaoyang,2,79.27,0,64968
chaoyang,2,86.8,0,64517
chaoyang,1,57.5,0,64348
chaoyang,2,112.71,0,63881
chaoyang,3,130,0,63847
chaoyang,1,66.54,0,63421
chaoyang,2,83,0,62651
chaoyang,3,91.12,0,60909
chaoyang,3,146.71,0,59301
chaoyang,1,67,0,55971
shijingshan,1,48.6,0,41153
shijingshan,2,49.87,0,40105
shijingshan,2,43,0,39535
shijingshan,2,48.6,0,38066
shijingshan,2,40.4,0,36634
shijingshan,2,70.35,0,36390
shijingshan,3,49.5,0,33940
shijingshan,2,78.8,0,32995
shijingshan,2,56.6,0,31803
haidian,3,80.2,0,74813
haidian,1,45.9,0,62092
haidian,1,44.7,0,58166
haidian,1,46,0,57174
haidian,2,63,0,57143
haidian,3,86.43,0,55768
haidian,2,66.4,0,54217
haidian,2,63,0,53651
haidian,4,109,0,53212
haidian,2,67.3,0,53195
haidian,2,66.4,0,53013
haidian,2,66.5,0,52632
haidian,2,66.4,0,50603
shijingshan,3,67,0,35075
shijingshan,7,600,0,50000
shijingshan,2,65.3,0,33691
shijingshan,2,65.24,0,45985
shijingshan,2,57.54,0,39973
shijingshan,2,58.95,0,39865
shijingshan,2,57.7,0,39862
shijingshan,3,68.43,0,39457
shijingshan,2,61.3,0,39152
shijingshan,2,55,0,38182
shijingshan,1,44.01,0,38174
shijingshan,2,59,0,36950
shijingshan,2,59.88,0,36741
shijingshan,2,57.46,1,36548
shijingshan,1,44,0,36364
shijingshan,2,58.8,0,35715
shijingshan,2,59.88,0,35071
shijingshan,2,59.41,0,34506
shijingshan,2,69.13,0,33994
shijingshan,2,57.26,0,33182
shijingshan,2,58.41,0,32187
shijingshan,2,165.88,0,28033
shijingshan,3,184.16,0,27151
shijingshan,1,33.46,0,46324
shijingshan,3,66,0,42425
shijingshan,1,36,0,38889
shijingshan,3,55,0,38182
shijingshan,3,69,0,37682
shijingshan,1,36.65,0,36835
shijingshan,2,51.31,0,36056
shijingshan,1,36.3,0,35813
shijingshan,2,51,0,35687
shijingshan,1,36.65,0,35471
shijingshan,2,50.37,0,35339
shijingshan,2,50.42,0,35304
shijingshan,3,56.77,0,35230
